pick_player_key,suggested_sgo_form,occurrence_count,action
"karl-anthony towns","tyrese maxey",12,ADD_TO_ALIASES
"de'aaron fox","",11,ABSENT_FROM_ODDS_NO_FIX
"keon ellis","",6,ABSENT_FROM_ODDS_NO_FIX
"danny wolf","",6,ABSENT_FROM_ODDS_NO_FIX
"lu dort","",6,ABSENT_FROM_ODDS_NO_FIX
"herb jones","",6,ABSENT_FROM_ODDS_NO_FIX
"royce o'neale","",6,ABSENT_FROM_ODDS_NO_FIX
"pj washington","",5,ABSENT_FROM_ODDS_NO_FIX
"craig porter jr.","",4,ABSENT_FROM_ODDS_NO_FIX
"dwight powell","",4,ABSENT_FROM_ODDS_NO_FIX
"ryan kalkbrenner","",4,ABSENT_FROM_ODDS_NO_FIX
"julian reese","",4,ABSENT_FROM_ODDS_NO_FIX
"ja'kobe walter","",4,ABSENT_FROM_ODDS_NO_FIX
"jared mccain","",4,ABSENT_FROM_ODDS_NO_FIX
"daeqwon plowden","",4,ABSENT_FROM_ODDS_NO_FIX
"josh green","",3,ABSENT_FROM_ODDS_NO_FIX
"collin sexton","",3,ABSENT_FROM_ODDS_NO_FIX
"jarrett allen","",2,ABSENT_FROM_ODDS_NO_FIX
"caris levert","",2,ABSENT_FROM_ODDS_NO_FIX
"sion james","",2,ABSENT_FROM_ODDS_NO_FIX
"bilal coulibaly","",2,ABSENT_FROM_ODDS_NO_FIX
"jett howard","",2,ABSENT_FROM_ODDS_NO_FIX
"will riley","",2,ABSENT_FROM_ODDS_NO_FIX
"mitchell robinson","",2,ABSENT_FROM_ODDS_NO_FIX
"sandro mamukelashvili","",2,ABSENT_FROM_ODDS_NO_FIX
"alex caruso","",2,ABSENT_FROM_ODDS_NO_FIX
"rudy gobert","",2,ABSENT_FROM_ODDS_NO_FIX
"malik monk","",2,ABSENT_FROM_ODDS_NO_FIX
"james harden","",1,ABSENT_FROM_ODDS_NO_FIX
"duncan robinson","",1,ABSENT_FROM_ODDS_NO_FIX
"dean wade","",1,ABSENT_FROM_ODDS_NO_FIX