Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta,lineMovDir
NBA,prizepicks-10583763-points-14.5,DeMar DeRozan,SAC,points,14.5,NBA,FanDuel,-360,260,0.7380410022779044,0.22613895216400914,0.22613895216400914,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:demar derozan:points:14.5:over:game,DeMar DeRozan - Points - 14.5,,
NBA,prizepicks-10579997-points-12.5,Aaron Gordon,DEN,points,12.5,NBA,FanDuel,-290,205,0.6939976461357396,0.18429776382895258,0.18429776382895258,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:aaron gordon:points:12.5:over:game,Aaron Gordon - Points - 12.5,,
NBA,prizepicks-10583933-points-9.5,Nique Clifford,SAC,points,9.5,NBA,FanDuel,-275,198,0.6860611134365843,0.17675805776475506,0.17675805776475506,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:nique clifford:points:9.5:over:game,Nique Clifford - Points - 9.5,,
NBA,prizepicks-10586136-points-7.5,Precious Achiuwa,SAC,points,7.5,NBA,FanDuel,-260,188,0.6753246753246753,0.16655844155844154,0.16655844155844154,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:precious achiuwa:points:7.5:over:game,Precious Achiuwa - Points - 7.5,,
NBA,prizepicks-10584253-rebounds-6.5,Dylan Cardwell,SAC,rebounds,6.5,NBA,FanDuel,-250,182,0.6682464454976303,0.15983412322274881,0.15983412322274881,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:dylan cardwell:rebounds:6.5:over:game,Dylan Cardwell - Rebounds - 6.5,,
NBA,prizepicks-10596371-points-9.5,John Collins,LAC,points,9.5,NBA,FanDuel,-250,182,0.6682464454976303,0.15983412322274881,0.15983412322274881,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:john collins:points:9.5:over:game,John Collins - Points - 9.5,,
NBA,prizepicks-10586134-points-11.5,Maxime Raynaud,SAC,points,11.5,NBA,FanDuel,-240,174,0.6591820368885326,0.15122293504410597,0.15122293504410597,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:maxime raynaud:points:11.5:over:game,Maxime Raynaud - Points - 11.5,,
NBA,prizepicks-10584008-points-14.5,Russell Westbrook,SAC,points,14.5,NBA,FanDuel,-205,158,0.634248710876604,0.12753627533277376,0.12753627533277376,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:russell westbrook:points:14.5:over:game,Russell Westbrook - Points - 14.5,,
NBA,prizepicks-10586745-points-15.5,Bennedict Mathurin,LAC,points,15.5,NBA,FanDuel,-210,154,0.6324401233104102,0.1258181171448897,0.1258181171448897,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:bennedict mathurin:points:15.5:over:game,Bennedict Mathurin - Points - 15.5,,
NBA,prizepicks-10583033-points-7.5,Rui Hachimura,LAL,points,7.5,NBA,FanDuel,-200,148,0.6231155778894473,0.1169597989949749,0.1169597989949749,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:rui hachimura:points:7.5:over:game,Rui Hachimura - Points - 7.5,,
NBA,prizepicks-10589537-threes-1.5,Kel'el Ware,MIA,threes,1.5,NBA,Underdog,-355,-103,0.6092667860135357,0.11473012531421246,0.11473012531421246,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:kelel ware:threes:1.5:over:game,Kel'el Ware - Threes - 1.5,,
NBA,prizepicks-10584670-points-11.5,Jaime Jaquez,MIA,points,11.5,NBA,FanDuel,-192,142,0.6140833157115669,0.10837914992598859,0.10837914992598859,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:jaime jaquez:points:11.5:over:game,Jaime Jaquez - Points - 11.5,,
NBA,prizepicks-10580159-points-8.5,Deandre Ayton,LAL,points,8.5,NBA,FanDuel,-188,140,0.6103896103896104,0.10487012987012985,0.10487012987012985,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:deandre ayton:points:8.5:over:game,Deandre Ayton - Points - 8.5,,
NBA,prizepicks-10577304-points-9.5,Wendell Carter,ORL,points,9.5,NBA,FanDuel,-184,140,0.6094311151573553,0.10395955939948749,0.10395955939948749,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:wendell carter:points:9.5:over:game,Wendell Carter - Points - 9.5,,
NBA,prizepicks-10580670-points-4.5,Jaxson Hayes,LAL,points,4.5,NBA,FanDuel,-188,140,0.6076762853078643,0.1022924710424711,0.1022924710424711,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:jaxson hayes:points:4.5:over:game,Jaxson Hayes - Points - 4.5,,
NBA,prizepicks-10579464-points-19.5,Tyler Herro,MIA,points,19.5,NBA,FanDuel,-186,138,0.6075094691771422,0.1021339957182851,0.1021339957182851,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:tyler herro:points:19.5:over:game,Tyler Herro - Points - 19.5,,
NBA,prizepicks-10588711-points-6.5,Jett Howard,ORL,points,6.5,NBA,theScore Bet,-180,135,0.6017069701280228,0.09662162162162162,0.09662162162162162,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:jett howard:points:6.5:over:game,Jett Howard - Points - 6.5,,
NBA,prizepicks-10590075-threes-1.5,Baylor Scheierman,BOS,threes,1.5,NBA,FanDuel,-210,154,0.5972967634746783,0.09243192530094438,0.09243192530094438,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:baylor scheierman:threes:1.5:over:game,Baylor Scheierman - Threes - 1.5,,
NBA,prizepicks-10586720-points-8.5,Cameron Johnson,DEN,points,8.5,NBA,FanDuel,-174,130,0.5961282071623373,0.09132179680422041,0.09132179680422041,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:cameron johnson:points:8.5:over:game,Cameron Johnson - Points - 8.5,,
NBA,prizepicks-10583832-points-25.5,Kawhi Leonard,LAC,points,25.5,NBA,FanDuel,-174,130,0.5935924058142985,0.08891278552358357,0.08891278552358357,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:kawhi leonard:points:25.5:over:game,Kawhi Leonard - Points - 25.5,,
NBA,prizepicks-10580312-points-6.5,Marcus Smart,LAL,points,6.5,NBA,FanDuel,-174,130,0.592947275215182,0.08829991145442288,0.08829991145442288,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:marcus smart:points:6.5:over:game,Marcus Smart - Points - 6.5,,
NBA,prizepicks-10582796-rebounds-2.5,Jonas Valančiūnas,DEN,rebounds,2.5,NBA,theScore Bet,-180,135,0.588116069606688,0.08371026612635364,0.08371026612635364,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:jonas valanciunas:rebounds:2.5:over:game,Jonas Valančiūnas - Rebounds - 2.5,,
NBA,prizepicks-10579514-points-29.5,Luka Dončić,LAL,points,29.5,NBA,FanDuel,-166,128,0.5872641509433962,0.08290094339622642,0.08290094339622642,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:luka doncic:points:29.5:over:game,Luka Dončić - Points - 29.5,,
NBA,prizepicks-10577672-points-15.5,Norman Powell,MIA,points,15.5,NBA,FanDuel,-168,126,0.5862154150197628,0.08190464426877468,0.08190464426877468,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:norman powell:points:15.5:over:game,Norman Powell - Points - 15.5,,
NBA,prizepicks-10580421-points-9.5,Tim Hardaway,DEN,points,9.5,NBA,FanDuel,-162,124,0.5815874840503757,0.07750810984785696,0.07750810984785696,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:tim hardaway:points:9.5:over:game,Tim Hardaway - Points - 9.5,,
NBA,prizepicks-10577587-points-13.5,Jalen Suggs,ORL,points,13.5,NBA,FanDuel,-162,122,0.5800850914792977,0.07608083690533277,0.07608083690533277,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:jalen suggs:points:13.5:over:game,Jalen Suggs - Points - 13.5,,
NBA,prizepicks-10585851-points-7.5,Brook Lopez,LAC,points,7.5,NBA,FanDuel,-162,122,0.5800850914792977,0.07608083690533277,0.07608083690533277,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:brook lopez:points:7.5:over:game,Brook Lopez - Points - 7.5,,
NBA,prizepicks-10587407-points-10.5,Christian Braun,DEN,points,10.5,NBA,FanDuel,-162,122,0.5785341998584389,0.07460748986551695,0.07460748986551695,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:christian braun:points:10.5:over:game,Christian Braun - Points - 10.5,,
NBA,prizepicks-10580197-points-23.5,Jamal Murray,DEN,points,23.5,NBA,FanDuel,-162,122,0.57748082449418,0.07360678326947102,0.07360678326947102,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:jamal murray:points:23.5:over:game,Jamal Murray - Points - 23.5,,
NBA,prizepicks-10577720-points-9.5,Pelle Larsson,MIA,points,9.5,NBA,theScore Bet,-160,120,0.5751633986928104,0.07140522875816989,0.07140522875816989,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:pelle larsson:points:9.5:over:game,Pelle Larsson - Points - 9.5,,
NBA,prizepicks-10577536-points-20.5,Desmond Bane,ORL,points,20.5,NBA,FanDuel,-154,116,0.5695687816469376,0.0660903425645907,0.0660903425645907,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:desmond bane:points:20.5:over:game,Desmond Bane - Points - 20.5,,
NBA,prizepicks-10584229-points-16.5,Darius Garland,LAC,points,16.5,NBA,FanDuel,-154,116,0.5695687816469376,0.0660903425645907,0.0660903425645907,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:darius garland:points:16.5:over:game,Darius Garland - Points - 16.5,,
NBA,prizepicks-10581631-assists-4.5,Payton Pritchard,BOS,assists,4.5,NBA,FanDuel,-160,120,0.5655059268809669,0.06223063053691855,0.06223063053691855,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:payton pritchard:assists:4.5:over:game,Payton Pritchard - Assists - 4.5,,
NBA,prizepicks-10579726-points-19.5,Austin Reaves,LAL,points,19.5,NBA,FanDuel,-148,116,0.5631918529659369,0.06003226031764003,0.06003226031764003,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:austin reaves:points:19.5:over:game,Austin Reaves - Points - 19.5,,
NBA,prizepicks-10580593-rebounds-6.5,Derrick White,BOS,rebounds,6.5,NBA,FanDuel,-182,136,0.5626610701089524,0.05952801660350476,0.05952801660350476,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:derrick white:rebounds:6.5:over:game,Derrick White - Rebounds - 6.5,,
NBA,prizepicks-10577486-points-19.5,Bam Adebayo,MIA,points,19.5,NBA,FanDuel,-152,114,0.5605544605406245,0.057526737513593294,0.057526737513593294,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:bam adebayo:points:19.5:over:game,Bam Adebayo - Points - 19.5,,
NBA,prizepicks-10580351-points-27.5,Nikola Jokić,DEN,points,27.5,NBA,FanDuel,-152,114,0.5605544605406245,0.057526737513593294,0.057526737513593294,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:nikola jokic:points:27.5:over:game,Nikola Jokić - Points - 27.5,,
NBA,prizepicks-10583798-points-10.5,Derrick Jones,LAC,points,10.5,NBA,FanDuel,-148,112,0.5600267220053258,0.057025385905059484,0.057025385905059484,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:derrick jones:points:10.5:over:game,Derrick Jones - Points - 10.5,,
NBA,prizepicks-10583259-points-17.5,LeBron James,LAL,points,17.5,NBA,FanDuel,-146,110,0.5574839148637564,0.05460971912056855,0.05460971912056855,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:lebron james:points:17.5:over:game,LeBron James - Points - 17.5,,
NBA,prizepicks-10581541-rebounds-4.5,Bilal Coulibaly,WAS,rebounds,4.5,NBA,FanDuel,-154,116,0.5549083255127605,0.052162909237122454,0.052162909237122454,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:bilal coulibaly:rebounds:4.5:over:game,Bilal Coulibaly - Rebounds - 4.5,,
NBA,prizepicks-10586738-points-6.5,Luke Kennard,LAL,points,6.5,NBA,FanDuel,-146,110,0.5546155867687436,0.05188480743030638,0.05188480743030638,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:luke kennard:points:6.5:over:game,Luke Kennard - Points - 6.5,,
NBA,prizepicks-10588507-points_assists-9.5,Sam Hauser,BOS,points_assists,9.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5468354430379747,0.04917721518987345,0.04917721518987345,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:sam hauser:points_assists:9.5:over:game,Sam Hauser - Points Assists - 9.5,,
NBA,prizepicks-10577184-threes-2.5,Jevon Carter,ORL,threes,2.5,NBA,Underdog,-212,-122,0.5414815057767406,0.04355558106557762,0.04355558106557762,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:jevon carter:threes:2.5:over:game,Jevon Carter - Threes - 2.5,,
NBA,prizepicks-10577697-points-23.5,Paolo Banchero,ORL,points,23.5,NBA,FanDuel,-138,104,0.5457146013272418,0.04342887126087972,0.04342887126087972,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:paolo banchero:points:23.5:over:game,Paolo Banchero - Points - 23.5,,
NBA,prizepicks-10581503-threes-1.5,Alex Sarr,WAS,threes,1.5,NBA,DraftKings,-135,105,0.5407914020517831,0.04283097215437227,0.04283097215437227,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:alex sarr:threes:1.5:over:game,Alex Sarr - Threes - 1.5,,
NBA,prizepicks-10581593-rebounds-7.5,Jaylen Brown,BOS,rebounds,7.5,NBA,theScore Bet,-140,105,0.5445920303605313,0.04236242884250471,0.04236242884250471,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:jaylen brown:rebounds:7.5:over:game,Jaylen Brown - Rebounds - 7.5,,
NBA,prizepicks-10594223-points-5.5,Bruce Brown,DEN,points,5.5,NBA,BetMGM,-135,100,0.5372585460687582,0.03539561876532031,0.03539561876532031,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:bruce brown:points:5.5:over:game,Bruce Brown - Points - 5.5,,
NBA,prizepicks-10581252-points-8.5,Will Riley,WAS,points,8.5,NBA,FanDuel,-130,-102,0.5313776378488768,0.031377637848876816,0.031377637848876816,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:will riley:points:8.5:over:game,Will Riley - Points - 8.5,,
NBA,prizepicks-10583111-points_assists-11.5,Davion Mitchell,MIA,points_assists,11.5,NBA,FanDuel,-132,100,0.5325416744572038,0.030914590734343605,0.030914590734343605,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:davion mitchell:points_assists:11.5:over:game,Davion Mitchell - Points Assists - 11.5,,
NBA,prizepicks-10586760-rebounds_assists-6.5,Kris Dunn,LAC,rebounds_assists,6.5,NBA,FanDuel,-122,-104,0.5324481178061281,0.030825711915821702,0.030825711915821702,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:kris dunn:rebounds_assists:6.5:over:game,Kris Dunn - Rebounds Assists - 6.5,,