Player,TotalProps,Matched,Match%,no_candidate,line_diff,juice,StatTypes,Notes
Luka Doncic,20,4,20%,0,16,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Cade Cunningham,19,3,16%,0,16,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jalen Johnson,18,2,11%,1,15,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Tyrese Maxey,18,2,11%,0,16,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Kawhi Leonard,18,2,11%,0,15,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jaylen Brown,17,2,12%,0,15,0,points|rebounds|assists,ALT_LINES_DOMINANT
Shai Gilgeous-Alexander,17,0,0%,17,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Jalen Duren,15,3,20%,0,12,0,points|rebounds|assists,ALT_LINES_DOMINANT
LeBron James,14,2,14%,0,12,0,points|rebounds|assists,ALT_LINES_DOMINANT
Austin Reaves,14,2,14%,1,11,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Derrick White,13,3,23%,0,9,1,points|rebounds|assists|steals|blocks,ALT_LINES_DOMINANT
Payton Pritchard,12,3,25%,0,9,0,points|rebounds|assists,ALT_LINES_DOMINANT
Chet Holmgren,12,4,33%,0,8,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Bennedict Mathurin,12,2,17%,0,10,0,points|rebounds|assists,ALT_LINES_DOMINANT
Desmond Bane,11,2,18%,0,8,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jrue Holiday,11,3,27%,1,7,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
CJ McCollum,11,2,18%,1,8,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
VJ Edgecombe,11,3,27%,0,7,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Nickeil Alexander-Walker,10,0,0%,10,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Paolo Banchero,9,2,22%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Jerami Grant,9,1,11%,1,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Donovan Clingan,9,1,11%,2,6,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Toumani Camara,9,3,33%,0,5,1,points|rebounds|assists|steals,ok
Trey Murphy III,9,1,11%,2,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
Saddiq Bey,9,3,33%,0,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
Scoot Henderson,8,3,38%,0,5,0,points|rebounds|assists,ok
Onyeka Okongwu,8,2,25%,0,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
Isaiah Hartenstein,8,3,38%,0,5,0,points|rebounds|assists,ok
Brandon Williams,8,3,38%,0,5,0,points|rebounds|assists,ok
Zion Williamson,8,3,38%,0,5,0,points|rebounds|assists,ok
Dejounte Murray,8,1,13%,1,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Russell Westbrook,8,2,25%,0,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
Jalen Suggs,7,2,29%,1,4,0,points|rebounds|assists|steals,ok
Tobias Harris,7,2,29%,0,4,1,points|rebounds|assists|steals,ok
Nikola Vucevic,7,2,29%,1,4,0,points|rebounds|assists,ok
Kelly Oubre,7,4,57%,0,3,0,points|rebounds|assists|steals,ok
Max Christie,7,3,43%,0,4,0,points|rebounds|assists,ok
Brook Lopez,7,3,43%,2,2,0,points|rebounds|assists|steals|blocks,ok
Precious Achiuwa,7,1,14%,2,4,0,points|rebounds|assists|steals,ok
Ausar Thompson,6,4,67%,0,2,0,points|rebounds|assists|steals,ok
Tristan da Silva,6,1,17%,1,4,0,points|rebounds|assists|steals,ok
Dyson Daniels,6,0,0%,0,6,0,points|rebounds|assists|steals,ok
Klay Thompson,6,1,17%,2,3,0,points|rebounds|assists,ok
Cason Wallace,6,4,67%,0,2,0,points|rebounds|assists|steals,ok
John Collins,6,2,33%,1,3,0,points|rebounds|assists,ok
Kris Dunn,6,3,50%,0,3,0,points|rebounds|assists|steals,ok
DeMar DeRozan,6,3,50%,0,3,0,points|rebounds|assists,ok
Nique Clifford,6,2,33%,1,3,0,points|rebounds|assists|steals,ok
Wendell Carter Jr.,5,1,20%,0,4,0,points|rebounds|assists,ok
Duncan Robinson,5,3,60%,0,2,0,points|rebounds|assists,ok
Jonathan Kuminga,5,0,0%,1,4,0,points|rebounds|assists,ok
Kris Murray,5,2,40%,2,1,0,points|rebounds|assists|steals,ok
Vit Krejci,5,2,40%,1,2,0,points|rebounds|assists,ok
Andre Drummond,5,0,0%,1,4,0,points|rebounds,ok
Quentin Grimes,5,2,40%,0,3,0,points|rebounds|assists,ok
Baylor Scheierman,5,3,60%,0,2,0,points|rebounds|assists,ok
Sam Hauser,5,3,60%,0,2,0,points|rebounds|assists,ok
Khris Middleton,5,3,60%,0,2,0,points|rebounds|assists,ok
Lu Dort,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Caleb Martin,5,2,40%,1,2,0,points|rebounds|assists|steals,ok
Isaiah Joe,5,1,20%,2,2,0,points|rebounds|assists,ok
Derrick Jones Jr.,5,1,20%,2,2,0,points|rebounds|assists|steals,ok
Herb Jones,5,0,0%,5,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Derik Queen,5,2,40%,0,3,0,points|rebounds|assists,ok
Malik Monk,5,1,20%,1,3,0,points|rebounds|assists,ok
Devin Carter,5,2,40%,0,3,0,points|rebounds|assists,ok
Caris LeVert,4,2,50%,1,1,0,points|rebounds|assists,ok
Jett Howard,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Daniss Jenkins,4,1,25%,1,2,0,points|rebounds|assists,ok
Corey Kispert,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Jock Landale,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Adem Bona,4,0,0%,4,0,0,points|rebounds|blocks,ABSENT_FROM_ODDS
Neemias Queta,4,3,75%,0,1,0,points|rebounds|assists,ok
Daniel Gafford,4,2,50%,0,2,0,points|rebounds|blocks,ok
AJ Johnson,4,1,25%,2,1,0,points|rebounds|assists,ok
Jared McCain,4,0,0%,2,2,0,points|rebounds|assists,ok
Marcus Smart,4,3,75%,0,1,0,points|rebounds|assists,ok
Luke Kennard,4,2,50%,1,1,0,points|rebounds|assists,ok
Jake LaRavia,4,2,50%,1,1,0,points|rebounds|assists,ok
Maxime Raynaud,4,2,50%,0,2,0,points|rebounds,ok
Jonathan Isaac,3,0,0%,3,0,0,points|rebounds|blocks,ABSENT_FROM_ODDS
Ron Holland,3,1,33%,0,2,0,points|rebounds,ok
Paul Reed,3,2,67%,0,1,0,points|rebounds,ok
Zaccharie Risacher,3,0,0%,3,0,0,points|rebounds,ABSENT_FROM_ODDS
Dominick Barlow,3,1,33%,0,2,0,points|rebounds,ok
Deandre Ayton,3,2,67%,0,1,0,points|rebounds,ok
Jaxson Hayes,3,0,0%,3,0,0,points|rebounds,ABSENT_FROM_ODDS
Daeqwon Plowden,3,0,0%,3,0,0,points|rebounds,ABSENT_FROM_ODDS
Jeremiah Fears,2,1,50%,0,1,0,points,ok
DeAndre Jordan,1,1,100%,0,0,0,rebounds,ok